Sentence,Label
What is the name of the person or authority who assigned this task in the project?,assigned_by
Could you provide information on who delegated this task within the project?,assigned_by
I'm curious to know who assigned this task. Can you share the name or role of the person responsible?,assigned_by
What is the assignment history of this task? Who was the assignor within the project?,assigned_by
Can you specify the individual or team member who assigned this task and their role in the project?,assigned_by
Who is the designated person or entity responsible for task assignment in this project?,assigned_by
"What is the chain of command or responsibility for task assignment in the project, and who specifically assigned this task?",assigned_by
Could you clarify who assigned this task within the project and provide details on their role or authority?,assigned_by
how many members are working in the project?,assigned_to
What is the total number of team members actively involved in the project?,assigned_to
How many individuals are currently part of the project team and actively contributing?,assigned_to
Can you provide the headcount of team members working on the project?,assigned_to
Could you share the number of people involved in the project and working on various tasks?,assigned_to
I'm interested in knowing the size of the project team. How many members are currently working on it?,assigned_to
What is the team composition like in terms of the number of members actively engaged in the project?,assigned_to
Can you specify the total count of individuals working on different aspects of the project?,assigned_to
How many team members have been allocated roles and responsibilities within the project?,assigned_to
What is the manpower or resource allocation like in terms of team members for the project?,assigned_to
"Could you provide information on the workforce size within the project, including the number of members contributing to its progress?",assigned_to
who are the asignee of this project?,assigned_to
Can you provide the names or roles of the individuals assigned to this project?,assigned_to
Who has been designated as the assignees or responsible parties for this project?,assigned_to
What is the list of assignees or team members assigned to work on this project?,assigned_to
Could you share the names of the people who have been assigned to handle this project?,assigned_to
I'm interested in knowing the assignees of this project. Can you provide their names or roles?,assigned_to
Who are the individuals or team members tasked with the responsibilities for this project?,assigned_to
Can you specify the assignees or personnel assigned to manage and execute this project?,assigned_to
Who has been allocated roles and responsibilities as assignees for this project?,assigned_to
What is the assignment structure like in terms of team members for this project?,assigned_to
Could you provide information on the individuals or team members assigned to this project and their respective roles?,assigned_to
What is the task status?,status
Can you provide an update on the current status of the task?,status
What is the progress status of the task at this moment?,status
"Could you share the status of the task, including any updates or changes?",status
I'm interested in knowing the latest status of the task. Can you provide that information?,status
What is the task's current status in terms of completion and progress?,status
"Can you give me an overview of the task status, including any pending or completed aspects?",status
"What is the task's status report, indicating its progress and any issues encountered?",status
"Could you provide information on the task's status, such as whether it's ongoing, completed, or pending?",status
I'd like to know the task's current status. Could you summarize that for me?,status
"Can you clarify the task's status, including any milestones achieved or upcoming deadlines?",status
what are the high priority task?,High
Can you provide a list of tasks that have been categorized as high priority?,High
Which tasks are currently marked as high priority and require immediate attention?,High
What specific tasks have been designated as high priority in the project?,High
Could you identify the tasks that are considered high priority at this time?,High
I'm interested in knowing which tasks are classified as high priority. Could you share that information?,High
"What are the tasks that have been prioritized as high priority, indicating their criticality?",High
Can you list the tasks that are identified as high priority in the task management system?,High
"What tasks are on the list of high priority tasks, indicating their importance and urgency?",High
I'd like to know which tasks are currently classified as high priority. Could you clarify that for me?,High
"What tasks are identified as high priority, signifying that they require immediate action or attention?",High
what are the low priority task?,Low
Can you provide a list of tasks that have been categorized as low priority?,Low
Which tasks are currently marked as low priority and can be addressed later?,Low
What specific tasks have been designated as low priority in the project?,Low
Could you identify the tasks that are considered low priority at this time?,Low
I'm interested in knowing which tasks are classified as low priority. Could you share that information?,Low
"What are the tasks that have been deprioritized, indicating their lower urgency?",Low
Can you list the tasks that are identified as low priority in the task management system?,Low
"What tasks are on the list of low priority tasks, indicating they are not immediate priorities?",Low
I'd like to know which tasks are currently classified as low priority. Could you clarify that for me?,Low
"What tasks are identified as low priority, signifying that they can be addressed after higher priority tasks are completed?",Low
what are the no priority task?,No_Priority
Can you provide a list of tasks that have been categorized as having no priority?,No_Priority
Which tasks are currently marked as no priority and can be deferred indefinitely?,No_Priority
What specific tasks have been designated as having no priority in the project?,No_Priority
Could you identify the tasks that are considered as having no priority at this time?,No_Priority
I'm interested in knowing which tasks are classified as having no priority. Could you share that information?,No_Priority
"What are the tasks that have been labeled as having no priority, indicating they are not urgent or important?",No_Priority
Can you list the tasks that are identified as having no priority in the task management system?,No_Priority
"What tasks are on the list of no priority tasks, indicating they are not considered immediate or significant?",No_Priority
I'd like to know which tasks are currently classified as having no priority. Could you clarify that for me?,No_Priority
"What tasks are identified as having no priority, signifying that they are not prioritized for action or attention?",No_Priority
what are the medium priority  task?,Medium
Which tasks are currently marked as medium priority and require attention but are not urgent?,Medium
What specific tasks have been designated as medium priority in the project?,Medium
Could you identify the tasks that are considered medium priority at this time?,Medium
I'm interested in knowing which tasks are classified as medium priority. Could you share that information?,Medium
"What are the tasks that have been prioritized as medium priority, indicating their moderate importance?",Medium
Can you list the tasks that are identified as medium priority in the task management system?,Medium
"What tasks are on the list of medium priority tasks, indicating they are important but not critical?",Medium
I'd like to know which tasks are currently classified as medium priority. Could you clarify that for me?,Medium
"What tasks are identified as medium priority, signifying that they require attention but are not top priorities?",Medium
what are the task is in the open status?,Open
Can you provide a list of tasks that are currently in the open status?,Open
Which tasks are marked as open and are awaiting action or assignment?,Open
What specific tasks have been categorized as open in the project?,Open
Could you identify the tasks that are considered to be in the open status at this time?,Open
I'm interested in knowing which tasks are classified as open. Could you share that information?,Open
"What are the tasks that are in the open status, indicating they are available for action or assignment?",Open
Can you list the tasks that are identified as open in the task management system?,Open
"What tasks are currently in the open status, indicating they are not yet assigned or in progress?",Open
I'd like to know which tasks are currently classified as open. Could you clarify that for me?,Open
"What tasks are identified as being in the open status, signifying they are ready for action or assignment?",Open
what are the task is in the in-process status?,In-Progress
Can you provide a list of tasks that are currently in the in-process status?,In-Progress
Which tasks are marked as in-process and are actively being worked on?,In-Progress
What specific tasks have been categorized as in-process in the project?,In-Progress
Could you identify the tasks that are considered to be in the in-process status at this time?,In-Progress
I'm interested in knowing which tasks are classified as in-process. Could you share that information?,In-Progress
"What are the tasks that are in the in-process status, indicating they are currently being executed or implemented?",In-Progress
Can you list the tasks that are identified as in-process in the task management system?,In-Progress
"What tasks are currently in the in-process status, indicating they are underway and being worked on?",In-Progress
I'd like to know which tasks are currently classified as in-process. Could you clarify that for me?,In-Progress
"What tasks are identified as being in the in-process status, signifying they are actively in progress or being executed?",In-Progress
what are the task is in the completed status?,Completed
Can you provide a list of tasks that are currently in the completed status?,Completed
Which tasks have been marked as completed and are no longer in active development?,Completed
What specific tasks have been designated as completed in the project?,Completed
Could you identify the tasks that are considered to be in the completed status at this time?,Completed
I'm interested in knowing which tasks are classified as completed. Could you share that information?,Completed
"What are the tasks that are in the completed status, indicating they have been successfully finished?",Completed
Can you list the tasks that are identified as completed in the task management system?,Completed
"What tasks are currently in the completed status, indicating they have achieved their objectives?",Completed
I'd like to know which tasks are currently classified as completed. Could you clarify that for me?,Completed
"What tasks are identified as being in the completed status, signifying they have reached their final stage and are ready for review or deployment?",Completed
what is the task description?,description
"Can you provide a detailed description of the task, including its objectives and requirements?",description
"What is the task's purpose, and what are the specific actions or deliverables it entails?",description
"Could you give an overview of the task, including its background, scope, and expected outcomes?",description
"I'm interested in understanding the task better. Could you describe its goals, timeline, and key components?",description
"What are the key aspects of the task that you can describe, such as its objectives, dependencies, and stakeholders?",description
"Can you provide a comprehensive description of the task, including its goals, deliverables, and resources required?",description
"What is the task all about? Could you provide a synopsis that includes its purpose, activities, and desired results?",description
"I'd like to know more about the task. Can you outline its description, including its objectives and expected impact?",description
"Could you provide an overview of the task's scope, including the activities involved and the desired outcomes?",description
"What are the main elements of the task description that you can share, such as its objectives, timeline, and dependencies?",description
what is the task title?,title
Can you provide the title or name of the task for reference?,title
What is the official title of the task that you're referring to?,title
Could you share the task's specific title or name for identification?,title
I'm interested in knowing the task's title. Could you provide that information?,title
What is the task formally called? Can you share its title?,title
Can you give me the task's title or name so I can identify it correctly?,title
What is the task's title that you're discussing? Please share it with me.,title
"Could you specify the title of the task you're referring to, including any version or code if applicable?",title
Can you clarify the task's title for better understanding and reference?,title
What title has been assigned to the task? I'd like to know the specific name used to refer to it.,title
which are the task contains feature tag?,feature
Can you list the tasks that are tagged with a feature tag for reference?,feature
"Which tasks have been labeled with a feature tag, indicating they are related to a specific feature or functionality?",feature
"Could you provide an overview of the tasks that contain a feature tag, specifying their features or functionalities?",feature
I'm interested in knowing which tasks are categorized with a feature tag. Could you share that information?,feature
"What tasks are marked with a feature tag, signifying they are associated with a particular feature or capability?",feature
Can you outline the tasks that have been identified with a feature tag in the task management system?,feature
"What tasks are on the list of tasks with a feature tag, indicating they are part of feature-related work?",feature
Could you clarify which tasks contain a feature tag for easier identification and reference?,feature
I'd like to know which tasks are tagged with a feature tag. Could you provide details on those tasks?,feature
"What tasks are identified as containing a feature tag, indicating they are related to feature development or implementation?",feature
which are the task contains refactor tag?,refactor
Can you list the tasks that are tagged with a refactor tag for reference?,refactor
"Which tasks have been labeled with a refactor tag, indicating they require code refactoring or improvement?",refactor
"Could you provide an overview of the tasks that contain a refactor tag, specifying the areas for refactoring?",refactor
I'm interested in knowing which tasks are categorized with a refactor tag. Could you share that information?,refactor
"What tasks are marked with a refactor tag, signifying they need code restructuring or enhancement?",refactor
Can you outline the tasks that have been identified with a refactor tag in the task management system?,refactor
"What tasks are on the list of tasks with a refactor tag, indicating they are candidates for code improvement?",refactor
Could you clarify which tasks contain a refactor tag for easier identification and reference?,refactor
I'd like to know which tasks are tagged with a refactor tag. Could you provide details on those tasks?,refactor
"What tasks are identified as containing a refactor tag, indicating they require code optimization or restructuring?",refactor
which are the task contains release tag?,release
Can you list the tasks that are tagged with a release tag for reference?,release
"Which tasks have been labeled with a release tag, indicating they are part of a specific release or version?",release
"Could you provide an overview of the tasks that contain a release tag, specifying their release-related activities?",release
I'm interested in knowing which tasks are categorized with a release tag. Could you share that information?,release
"What tasks are marked with a release tag, signifying they are related to a particular release or deployment?",release
Can you outline the tasks that have been identified with a release tag in the task management system?,release
"What tasks are on the list of tasks with a release tag, indicating they are part of a release cycle?",release
Could you clarify which tasks contain a release tag for easier identification and reference?,release
I'd like to know which tasks are tagged with a release tag. Could you provide details on those tasks?,release
"What tasks are identified as containing a release tag, indicating they are part of a release plan or milestone?",release
when the task is created?,created_at
Can you provide the date or timestamp when the task was initially created?,created_at
When was the task first established or added to the project?,created_at
"What is the creation date of the task, indicating when it was started?",created_at
Could you share the historical record or creation timestamp of the task?,created_at
I'm interested in knowing the task's inception date. When was it first created?,created_at
"What is the task's creation timeline, including the start date?",created_at
Can you specify the exact date or timeframe when the task was created?,created_at
When did the task officially begin or get added to the project?,created_at
What is the task's creation history or initiation point?,created_at
Could you provide information on when the task was initially created or added to the project?,created_at
when the task is assigned?,created_at
Can you provide the date or timestamp when the task was assigned to a team member?,created_at
When was the task officially allocated or assigned to a specific individual or team?,created_at
"What is the assignment date of the task, indicating when it was delegated to a responsible party?",created_at
Could you share the historical record or assignment timestamp of the task?,created_at
I'm interested in knowing the task's assignment date. When was it assigned to someone?,created_at
"What is the task's assignment timeline, including the date it was delegated?",created_at
Can you specify the exact date or timeframe when the task was assigned to its respective assignee?,created_at
When did the task officially get assigned and become active?,created_at
What is the task's assignment history or initiation point?,created_at
Could you provide information on when the task was first allocated or assigned to an individual or team?,created_at
what is the task due date of the project?,due date
Can you provide the due date or deadline for completing the task within the project?,due date
When is the task expected to be completed or delivered? What is its due date?,due date
What is the target completion date or due date for the task in the project?,due date
Could you share the timeline or deadline set for finishing the task?,due date
I'm interested in knowing the task's due date. When is it scheduled to be finished?,due date
What is the task's due date in terms of completion and progress within the project?,due date
"Can you give an overview of the task's due date, including any milestones or checkpoints?",due date
"Could you clarify the task's due date, indicating when it should be completed according to the project timeline?",due date
What is the task's due date or deadline for completion within the project?,due date
Could you provide information on the scheduled due date or deadline for completing the task within the project?,due date
who assigned this task in the task?,assigned_by
Can you identify the individual or team member who assigned this specific task within the project?,assigned_by
Who is responsible for assigning this task in the project?,assigned_by
What is the name or role of the person who assigned this task in the project?,assigned_by
Could you provide information on who delegated this task within the project?,assigned_by
I'm curious to know who assigned this task. Can you share the name or role of the person responsible?,assigned_by
What is the assignment history of this task? Who was the assignor within the project?,assigned_by
Can you specify the individual or team member who assigned this task and their role in the project?,assigned_by
Who is the designated person or entity responsible for task assignment in this project?,assigned_by
"What is the chain of command or responsibility for task assignment in the project, and who specifically assigned this task?",assigned_by
Could you clarify who assigned this task within the project and provide details on their role or authority?,assigned_by
how many members are working in the task?,assigned_to
Can you provide the total number of team members actively working on the task?,assigned_to
How many individuals are currently assigned to work on the task?,assigned_to
What is the headcount of team members contributing to the task?,assigned_to
Could you share the number of people involved in working on the task?,assigned_to
I'm interested in knowing the size of the team working on the task. How many members are there?,assigned_to
What is the team composition like for the task in terms of the number of members actively involved?,assigned_to
Can you specify the total count of individuals working on the task?,assigned_to
How many team members are allocated roles and responsibilities for the task?,assigned_to
What is the manpower or resource allocation like for the task in terms of team members?,assigned_to
"Could you provide information on the workforce size for the task, including the number of members contributing to its progress?",assigned_to
who are the asignee of this task?,assigned_to
Can you provide the names or roles of the individuals assigned to this task?,assigned_to
Who has been designated as the assignees or responsible parties for this task?,assigned_to
What is the name or role of the person who assigned this task in the project?,assigned_to
Could you provide information on who delegated this task within the project?,assigned_to
I'm curious to know who assigned this task. Can you share the name or role of the person responsible?,assigned_to
Who are the individuals or team members tasked with the responsibilities for this task?,assigned_to
Can you specify the assignees or personnel assigned to manage and execute this task?,assigned_to
Who has been allocated roles and responsibilities as assignees for this task?,assigned_to
Could you clarify who assigned this task within the project and provide details on their role or authority?,assigned_to
What is the assignment history of this task? Who was the assignor within the project?,assigned_to
what are all the subtask under this project?,title
What subtasks are involved in this project?,title
Can you list the subtasks for this project?,title
What are the specific tasks that make up this project?,title
Could you outline the subtasks within this project?,title
What subtasks have you identified for this project?,title
Can you break down the project into its subtasks?,title
What are the individual tasks that fall under this project?,title
How would you categorize the tasks within this project?,title
What specific activities are part of this project?,title
Can you provide a detailed breakdown of the subtasks for this project?,title
what are all the subtask assigned?,title
Can you list out the subtasks that have been assigned?,title
What subtasks have been given?,title
Could you provide a rundown of the subtasks that are currently assigned?,title
What are the subtasks that need to be completed?,title
Can you summarize the subtasks that have been assigned?,title
Could you outline the subtasks that are on the list?,title
What specific tasks have been designated?,title
Can you enumerate the subtasks that are pending?,title
What tasks are part of the assignment?,title
Could you detail the subtasks that have been allocated?,title
when was the subtask assigned?,created_at
On what date was the subtask assigned?,created_at
When was the subtask given to you?,created_at
What is the assignment date for the subtask?,created_at
When did you receive the subtask?,created_at
What day was the subtask assigned?,created_at
Can you tell me the date when the subtask was assigned?,created_at
When did the subtask come your way?,created_at
What was the assignment date for the subtask?,created_at
On which date did the subtask become your responsibility?,created_at
When did you get the subtask to work on?,created_at
what is the due date of the subtask,due_date
When is the deadline for the subtask?,due_date
What is the subtasks due date?,due_date
Could you please tell me when the subtask is due?,due_date
When do I need to complete the subtask by?,due_date
Whats the timeline for finishing the subtask?,due_date
By when should I have the subtask completed?,due_date
When is the subtask supposed to be finished?,due_date
Whats the deadline for completing the subtask?,due_date
When is the subtask due?,due_date
When do I have to submit the subtask by?,due_date
who are the members of the subtask?,assigned_to
Who is part of the subtask group?,assigned_to
Which individuals are involved in the subtask?,assigned_to
Can you list the members of the subtask?,assigned_to
Who are the members assigned to the subtask?,assigned_to
Could you tell me the people working on the subtask?,assigned_to
Who makes up the subtask team?,assigned_to
Which individuals are part of the subtask?,assigned_to
Who is on the subtask roster?,assigned_to
Can you provide the names of the subtask members?,assigned_to
Who comprises the subtask group?,assigned_to
What is the subtask status?,status
What is the status of the subtask?,status
Can you provide an update on the subtask?,status
How is the subtask progressing?,status
What is the current status of the subtask?,status
Could you give me a status update on the subtask?,status
How far along is the subtask?,status
Whats the progress on the subtask?,status
Could you tell me how the subtask is coming along?,status
Whats the status report on the subtask?,status
Can you let me know the status of the subtask?,status
what are the high priority subtask?,high
What subtasks are of high priority?,high
Could you list the high-priority subtasks?,high
Which subtasks should be prioritized?,high
What are the most urgent subtasks?,high
Can you identify the top-priority subtasks?,high
What subtasks require immediate attention?,high
Which subtasks are critical and should be addressed first?,high
What are the key subtasks that need to be focused on?,high
Could you specify the subtasks that are of utmost importance?,high
Can you outline the subtasks that should be tackled as a priority?,high
what are the low priority subtask?,low
What tasks are considered low priority?,low
Could you list the subtasks that are of low priority?,low
Which subtasks have lower priority?,low
What are the less urgent subtasks?,low
Can you identify the tasks that are not high priority?,low
What subtasks are not currently top priority?,low
Which tasks are considered lower in priority?,low
What are the tasks that are not high on the priority list?,low
Can you list the subtasks that are of lower importance?,low
What are the subtasks that are not as urgent as others?,low
what are the no priority subtask?,No_priority
What are some subtasks that are not a priority?,No_priority
Could you list subtasks that are of lower priority?,No_priority
What subtasks can be considered less urgent?,No_priority
Are there any subtasks that are not as important right now?,No_priority
Which subtasks are lower on the priority list?,No_priority
What subtasks are of a lower priority compared to others?,No_priority
Can you identify subtasks that are not the top priority?,No_priority
What are some subtasks that can be addressed later?,No_priority
Which subtasks are of lower importance at the moment?,No_priority
What subtasks are lower in priority than others?,No_priority
what are the medium priority  subtask?,medium
Can you list the subtasks that are of medium priority?,medium
Which subtasks fall into the category of medium priority?,medium
What are the subtasks that are considered to be of medium priority?,medium
Could you identify the medium priority subtasks?,medium
What subtasks are not high priority but also not low priority?,medium
Which tasks have been assigned a medium level of priority?,medium
Can you provide a list of subtasks that are neither high nor low priority?,medium
What subtasks are considered medium in terms of priority?,medium
Could you specify the subtasks that are ranked as medium priority?,medium
What tasks fall into the medium priority range?,medium
what are the subtask is in the open status?,open
What subtasks are currently in the open status?,open
Which subtasks are still open?,open
Can you list the subtasks that are in the open status?,open
What subtasks have not been closed yet?,open
Are there any subtasks that are currently open?,open
Which subtasks are awaiting completion?,open
What is the status of the subtasks? Are any still open?,open
"Have all subtasks been closed, or are there still some open?",open
Which subtasks are yet to be completed?,open
Could you provide an update on the status of the subtasks that are still open?,open
what are the subtask is in the in-process status?,In-Progress
What subtasks are currently in the in-process status?,In-Progress
